tribunal,numero,ano,data_sessao,tipo,relator,colegiado,assunto,resumo_ia,url,verificado,flag
TCU,JURISPRUDENCIA-SELECIONADA-12550,2016,2016-07-06,acordao,,Plenário,Contrato Administrativo,"O Tribunal de Contas da União decidiu que a caracterização de jogo de planilha não depende da intenção de obter vantagem indevida por parte dos agentes administrativos ou dos representantes da empresa contratada. Essa decisão reforça a importância da análise técnica dos contratos administrativos, independentemente da má-fé. A jurisprudência selecionada visa esclarecer a aplicação das normas de controle sobre contratos públicos.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-128556,2022,2022-03-16,acordao,,Plenário,Licitação,"O Tribunal de Contas da União decidiu que a exigência de quantitativos mínimos para comprovação da capacidade técnico-profissional deve ser justificada, especialmente em relação à complexidade técnica do objeto licitado. A ausência dessa justificativa foi considerada uma afronta ao disposto no art. 30, § 1º, inciso I, da Lei 8.666/1993. A decisão reforça a necessidade de transparência e adequação nas licitações públicas.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-14919,2015,2015-11-18,acordao,,Plenário,Licitação,"O Tribunal de Contas da União decidiu que, nas contratações integradas, é essencial a inclusão de uma matriz de risco detalhada no instrumento convocatório. Essa matriz deve especificar a alocação dos riscos a cada signatário do contrato. A decisão visa garantir maior transparência e responsabilidade na gestão dos riscos associados ao empreendimento.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-152280,2023,2023-06-06,acordao,,Segunda Câmara,Responsabilidade,"O Tribunal de Contas da União decidiu que a atestação da execução de serviços de engenharia, baseada apenas em medições realizadas pela empresa contratada, sem uma verificação rigorosa e documentada, configura erro grosseiro. Essa conduta é passível de responsabilização do fiscal do contrato, conforme previsto no art. 28 do Decreto-lei 4.657/1942. A decisão ressalta a importância da fiscalização adequada na execução de contratos públicos.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-154520,2023,2023-07-18,acordao,,Primeira Câmara,Contrato Administrativo,"O TCU decidiu que a variação da taxa cambial, por si só, não é suficiente para justificar o reequilíbrio econômico-financeiro de um contrato administrativo. Para que essa variação seja considerada, deve resultar em consequências incalculáveis e onerosidade excessiva, rompendo a equação econômico-financeira do contrato. A decisão reafirma a necessidade de análise criteriosa das condições que justificam o reequilíbrio, conforme previsto na Lei 8.666/1993.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-156300,2023,2023-08-16,acordao,,Plenário,Licitação,"O Tribunal de Contas da União decidiu que a recuperação judicial ou extrajudicial de uma empresa não impede sua participação em licitações, desde que esta comprove sua capacidade econômico-financeira para a execução do contrato. Essa decisão visa garantir a concorrência e a inclusão de empresas em dificuldades financeiras, desde que aptas a cumprir com suas obrigações. A medida busca equilibrar o acesso ao mercado público e a segurança na execução dos contratos.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-16331,2015,2015-10-21,acordao,,Plenário,Licitação,"O Tribunal de Contas da União decidiu que as estimativas de preços prévias às licitações devem ser fundamentadas em cestas de preços aceitáveis, utilizando dados de pesquisas diretas com fornecedores, valores de licitações anteriores e registros em sistemas de compras. Essa decisão visa garantir a transparência e a competitividade nas contratações públicas. A orientação busca evitar superfaturamento e assegurar que os preços estimados sejam condizentes com o mercado.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-163642,2024,2024-02-07,acordao,,Plenário,Licitação,"O Tribunal de Contas da União decidiu que é ilegal exigir capital social integralizado mínimo como condição de habilitação em licitação. Essa exigência vai além do que é permitido pelo art. 31, §§ 2º e 3º, da Lei 8.666/1993. A decisão reafirma a necessidade de respeitar os limites legais na qualificação econômico-financeira dos licitantes.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-17221,2015,2015-06-17,acordao,,Plenário,Contrato Administrativo,"O Tribunal de Contas da União decidiu que a diferença percentual entre o valor global do contrato e o valor obtido a partir dos custos unitários do sistema de referência não pode ser reduzida em favor do contratado devido a aditamentos que alterem a planilha orçamentária. Essa decisão visa evitar práticas de manipulação de preços, conhecidas como 'jogo de planilha'. Assim, a integridade dos contratos administrativos deve ser mantida.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-184618,2025,2025-05-28,acordao,,Plenário,Licitação,"O Tribunal de Contas da União (TCU) decidiu que é recomendável que órgãos da Administração Pública adotem diretrizes específicas ao elaborar matrizes de riscos em contratações de obras públicas. As diretrizes incluem detalhamento dos riscos, compatibilização com o regime contratual e análise prévia da matriz. O objetivo é garantir a coerência entre planejamento, orçamento e obrigações contratuais, além de promover boas práticas na gestão de riscos.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-20537,2014,2014-03-26,acordao,,Plenário,Licitação,"O Tribunal de Contas da União decidiu que é obrigatória a republicação do edital de licitação quando as respostas aos pedidos de esclarecimentos dos licitantes, mesmo que publicadas em portal oficial, influenciam na elaboração das propostas. Essa decisão se baseia na necessidade de garantir a transparência e a igualdade de condições entre os participantes do certame. A medida visa assegurar que todos os licitantes tenham acesso às mesmas informações antes de apresentarem suas propostas.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-20557,2014,2014-07-09,acordao,,Plenário,Licitação,"O Tribunal de Contas da União decidiu que as planilhas de custo são elementos essenciais das propostas dos licitantes, independentemente do regime de execução. Essas planilhas não são meramente informativas, mas servem para respaldar variações de custos e identificar práticas irregulares, como o 'jogo de planilha'. A decisão reforça a importância da transparência e da correta formação dos preços nas licitações.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-21110,2009,2009-08-05,acordao,,Plenário,Responsabilidade,"O Tribunal de Contas da União decidiu aplicar multa ao fiscal da obra devido à grave deficiência de fiscalização em obras rodoviárias. A decisão foi fundamentada na ingerência da contratada nas medições, inconsistências entre os serviços medidos e os quantitativos executados, além da falta de documentos essenciais como diário de obras e relatórios de fiscalização. Essas falhas contrariam o disposto na Lei 8.666/1993.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-21174,2013,2013-02-20,acordao,,Plenário,Contrato Administrativo,"O Tribunal de Contas da União decidiu que, em contratos de obra e serviço de engenharia, não é obrigatória a retenção da parcela referente à contribuição previdenciária pelo ente público contratante. A decisão esclarece que a comprovação do recolhimento das contribuições previdenciárias não deve ser exigida como condição para o pagamento das notas fiscais apresentadas. A responsabilidade previdenciária da Administração Pública se limita à contratação de serviços prestados mediante cessão de mão-de-obra.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-21439,2016,2016-09-14,acordao,,Plenário,Licitação,"O Tribunal de Contas da União decidiu que, nas licitações e prorrogações contratuais de serviços de manutenção predial, a Administração deve incluir nos estudos técnicos preliminares a previsão da quantidade de material, definição dos postos de trabalho e estimativa de preços. Essa decisão se baseia nos artigos da Lei 8.666/1993 que tratam da necessidade de planejamento adequado nas contratações. A medida visa garantir a transparência e a eficiência na utilização dos recursos públicos.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-21827,2014,2014-03-26,acordao,,Plenário,Licitação,"O Tribunal de Contas da União decidiu que não há uma orientação legal específica sobre a metodologia para a obtenção do preço de referência em licitações. A exigência é que os valores estimados estejam alinhados com a prática de mercado. Assim, a utilização da média aritmética de pesquisas de mercado para determinar o preço de referência foi considerada adequada e não apresentou impropriedades.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-21832,2015,2015-05-26,acordao,,Primeira Câmara,Licitação,"O Tribunal de Contas da União decidiu que a comprovação da qualificação técnico-profissional em licitações pode ser realizada por meio da apresentação de contrato de prestação de serviços. Essa decisão se baseia na interpretação do art. 30, § 1º, inciso I, da Lei 8.666/1993, que menciona 'quadro permanente da empresa'. A interpretação ampliada permite maior flexibilidade na comprovação de qualificação.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-21881,2014,2014-11-26,acordao,,Plenário,Licitação,"O Tribunal de Contas da União decidiu que a comprovação da capacidade técnico-profissional da licitante deve se restringir à indicação de um profissional que possua o acervo técnico exigido no edital. Este profissional deve estar vinculado à empresa por meio de um contrato de prestação de serviços, conforme a legislação civil, sem a necessidade de ser parte do quadro permanente da empresa. A decisão visa garantir a flexibilidade na participação de licitantes em processos licitatórios.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-22141,2012,2012-02-01,acordao,,Plenário,Licitação,O Tribunal de Contas da União decidiu que a exigência de um quantitativo mínimo para comprovação da capacidade técnico-profissional em licitações é contrária ao que estabelece a Lei 8.666/1993. Essa decisão reafirma a necessidade de conformidade com os princípios legais que regem as licitações. A interpretação correta da legislação é fundamental para garantir a competitividade e a transparência nos processos licitatórios.,,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-25230,2015,2015-03-04,acordao,,Plenário,Licitação,"O Tribunal de Contas da União decidiu que certas cláusulas em licitações podem restringir a competitividade. Foram identificadas exigências como a necessidade de visita técnica apenas por profissionais específicos e a proibição de comprovação de vínculo através de contrato de prestação de serviços. Essas práticas podem limitar a participação de empresas no processo licitatório, comprometendo a concorrência.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-25394,2010,2010-01-27,acordao,,Plenário,Licitação,"O Tribunal de Contas da União decidiu que é permitido, para comprovação da capacitação técnico-profissional em licitações, a apresentação de contrato de prestação de serviços regido pela legislação civil comum. Este contrato pode ser sem vínculo trabalhista e com prazo determinado, garantindo a permanência do profissional durante a execução do serviço. Além disso, admite-se a substituição por profissionais com experiência equivalente ou superior, desde que aprovada pela Administração.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-25483,2009,2009-12-09,acordao,,Plenário,Licitação,"O Tribunal de Contas da União decidiu que não é necessário que o profissional esteja no quadro permanente da empresa licitante, sendo suficiente a comprovação de um contrato de prestação de serviços. Essa decisão visa garantir a flexibilidade na contratação de serviços sem vínculo trabalhista, respeitando a legislação civil. A interpretação busca facilitar a participação de empresas em licitações, desde que cumpram os requisitos legais.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-31114,2008,2008-09-10,acordao,,Plenário,Contrato Administrativo,"O Tribunal de Contas da União decidiu que a administração pública não deve realizar pagamentos com base em boletins de medição imprecisos. A decisão enfatiza a necessidade de uma aferição adequada dos quantitativos faturados pela empresa executora, por meio de medição-verificação dos serviços realizados. Além disso, a apresentação da memória de cálculo correspondente é essencial para garantir a precisão dos pagamentos.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-31675,2008,2008-10-15,acordao,,Plenário,Licitação,O Tribunal de Contas da União decidiu que é válida a exigência de capital social mínimo integralizado como critério para a qualificação econômico-financeira em processos licitatórios. Essa decisão visa garantir a capacidade financeira dos licitantes para a execução dos contratos. A medida busca assegurar a regularidade e a solidez das empresas participantes das licitações.,,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-34242,2004,2004-12-15,acordao,,Plenário,Licitação,"O Tribunal de Contas da União decidiu que não é permitido estabelecer percentuais mínimos acima de 50% para a avaliação da capacidade técnica de licitantes, exceto em casos excepcionais que devem ser devidamente justificados. Essa decisão visa garantir a transparência e a equidade no processo licitatório. A justificativa deve estar claramente documentada no processo administrativo ou no edital.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-34411,2017,2017-02-08,acordao,,Plenário,Contrato Administrativo,"O Tribunal de Contas da União decidiu que a caracterização de jogo de planilha não depende da intenção de obter vantagem indevida por parte dos agentes administrativos ou dos prepostos da empresa contratada. Essa decisão reforça a importância da análise objetiva das contratações públicas, independentemente da intenção dos envolvidos. A jurisprudência estabelece um padrão rigoroso para a fiscalização de contratos administrativos.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-54764,2018,2018-04-04,acordao,,Plenário,Licitação,"O Tribunal de Contas da União decidiu que é vedada a exigência cumulativa de capital social mínimo e garantia de proposta para a qualificação econômico-financeira em licitações. Essa decisão se baseia no artigo 31, inciso III, da Lei 8.666/1993, que trata das garantias de participação. A medida visa assegurar a competitividade e a ampla participação nas licitações públicas.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-65954,2018,2018-11-28,acordao,,Plenário,Licitação,"O Tribunal de Contas da União decidiu que é permitido exigir um piso salarial mínimo superior ao estabelecido em convenção coletiva, desde que o gestor demonstre que os valores estipulados no edital da licitação são compatíveis com os preços de mercado para serviços de complexidade similar. Essa decisão visa garantir a adequação dos custos nas contratações públicas. A análise da compatibilidade dos preços é fundamental para a validade do edital.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-70421,2019,2019-03-26,acordao,,Primeira Câmara,Licitação,"O Tribunal de Contas da União decidiu que é irregular a exigência de atestado de capacidade técnica que demande um quantitativo mínimo superior a 50% do total de bens e serviços a serem contratados, a menos que haja uma justificativa técnica adequada. Essa decisão visa garantir a competitividade e a transparência nas licitações. A exigência excessiva pode restringir a participação de potenciais licitantes, comprometendo o princípio da isonomia.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-73010,2019,2019-05-15,acordao,,Plenário,Licitação,"O Tribunal de Contas da União decidiu que, na elaboração da planilha de formação de preços, o licitante pode utilizar norma coletiva de trabalho diferente da adotada pelo órgão contratante. Essa decisão se baseia no entendimento de que o enquadramento sindical do empregador deve ser definido pela sua atividade econômica preponderante. Assim, a atividade da categoria profissional que prestará os serviços não deve ser o único critério para a formação do orçamento estimado.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-80316,2019,2019-10-16,acordao,,Plenário,Licitação,"O Tribunal de Contas da União decidiu que a exigência de um quantitativo mínimo para comprovação da capacidade técnico-profissional em licitações é contrária ao disposto no art. 30, § 1º, inciso I, da Lei 8.666/1993. Essa decisão visa garantir a ampla participação de empresas nas licitações, evitando restrições indevidas. A medida reforça a necessidade de conformidade com a legislação vigente em processos licitatórios.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-8033,2016,2016-05-25,acordao,,Plenário,Responsabilidade,"O Tribunal de Contas da União decidiu que é cabível a aplicação de multa aos responsáveis pela elaboração do orçamento estimativo de licitação que contenha sobrepreço, mesmo que não haja dano ao erário. A decisão enfatiza a importância da responsabilidade na elaboração de orçamentos públicos. A medida visa coibir práticas irregulares que possam comprometer a lisura dos processos licitatórios.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-90345,2020,2020-05-05,acordao,,Primeira Câmara,Licitação,"O Tribunal de Contas da União decidiu que é permitido exigir um piso salarial mínimo superior ao estabelecido em convenção coletiva, desde que o gestor demonstre que os valores estipulados no edital da licitação são compatíveis com os preços de mercado para serviços de complexidade similar. Essa decisão visa garantir a adequação dos custos em licitações públicas. A análise se baseou na necessidade de justificar os critérios de remuneração em processos licitatórios.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-90902,2020,2020-05-13,acordao,,Plenário,Licitação,"O Tribunal de Contas da União decidiu que empresas em recuperação judicial podem participar de licitações, desde que apresentem uma certidão da instância judicial competente que comprove sua aptidão econômica e financeira. Essa decisão visa garantir a inclusão de empresas em dificuldades financeiras no processo licitatório, desde que atendam aos requisitos legais. A medida busca equilibrar a concorrência e fomentar a recuperação de empresas.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-93766,2020,2020-06-24,acordao,,Plenário,Licitação,"O Tribunal de Contas da União decidiu que a modelagem de aquisição por preço global em licitações para registro de preços é uma exceção que deve ser justificada. Essa abordagem deve ser utilizada apenas quando a Administração pretende contratar todos os itens do grupo, respeitando as proporções definidas. A decisão também admite a possibilidade de aquisição isolada de itens, desde que o preço unitário do vencedor do grupo seja o menor lance válido para o item.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-97014,2020,2020-08-12,acordao,,Plenário,Licitação,"O Tribunal de Contas da União decidiu que, na elaboração da planilha de formação de preços, o licitante pode utilizar norma coletiva de trabalho diferente da adotada pelo órgão contratante. Essa decisão se baseia no entendimento de que o enquadramento sindical do empregador deve ser definido pela sua atividade econômica preponderante. Assim, a norma coletiva utilizada pode ser aquela que melhor reflete a realidade do serviço a ser prestado.",,false,[VIT]
TCU,JURISPRUDENCIA-SELECIONADA-99882,2020,2020-09-30,acordao,,Plenário,Licitação,"O Tribunal de Contas da União decidiu que é irregular a exigência de que as propostas dos licitantes indiquem acordos coletivos, convenções coletivas ou sentenças normativas relacionadas às categorias profissionais que executarão o serviço. A decisão se baseou na necessidade de que as propostas considerem o enquadramento sindical pela atividade econômica preponderante do empregador. Essa exigência foi considerada inadequada e não condizente com as normas de licitação.",,false,[VIT]
